,Open,High,Low,Close,Adj Close,Volume
2022-07-14 11:00:00,19791.109375,19801.0234375,19700.86328125,19753.83984375,19753.83984375,385179648.0
2022-07-14 12:00:00,19756.1171875,19835.5703125,19728.505859375,19781.609375,19781.609375,0.0
2022-07-14 13:00:00,19787.380859375,19804.669921875,19689.2578125,19787.443359375,19787.443359375,0.0
2022-07-14 14:00:00,19786.09375,19903.044921875,19708.669921875,19903.044921875,19903.044921875,0.0
2022-07-14 15:00:00,19897.7578125,20375.361328125,19897.7578125,20360.259765625,20360.259765625,1603938304.0
2022-07-14 16:00:00,20360.990234375,20406.818359375,20209.75390625,20221.427734375,20221.427734375,0.0
2022-07-14 17:00:00,20223.03515625,20665.775390625,20204.416015625,20665.775390625,20665.775390625,501219328.0
2022-07-14 18:00:00,20684.97265625,20725.009765625,20645.189453125,20694.388671875,20694.388671875,729085952.0
2022-07-14 19:00:00,20694.59765625,20789.89453125,20655.22265625,20669.671875,20669.671875,1251823616.0
2022-07-14 20:00:00,20626.380859375,20640.40625,20549.330078125,20640.40625,20640.40625,375472128.0
2022-07-14 21:00:00,20648.76171875,20673.5078125,20482.513671875,20484.99609375,20484.99609375,271738880.0
2022-07-14 22:00:00,20478.724609375,20535.435546875,20468.11328125,20507.578125,20507.578125,30212096.0
2022-07-14 23:00:00,20506.099609375,20581.869140625,20490.77734375,20568.53125,20568.53125,0.0
2022-07-15 00:00:00,20573.15625,20581.94140625,20430.9375,20432.291015625,20432.291015625,0.0
2022-07-15 01:00:00,20416.6796875,20518.521484375,20397.47265625,20518.521484375,20518.521484375,1018570752.0
2022-07-15 02:00:00,20595.697265625,20760.357421875,20475.830078125,20475.830078125,20475.830078125,1613563904.0
2022-07-15 03:00:00,20483.984375,20577.51953125,20479.099609375,20577.51953125,20577.51953125,805519360.0
2022-07-15 04:00:00,20590.365234375,20652.5078125,20518.1015625,20518.1015625,20518.1015625,1109123072.0
2022-07-15 05:00:00,20529.46875,20635.416015625,20529.46875,20630.91015625,20630.91015625,824029184.0
2022-07-15 06:00:00,20644.2265625,20656.615234375,20598.88671875,20608.380859375,20608.380859375,315465728.0
2022-07-15 07:00:00,20606.8671875,20829.48828125,20594.123046875,20797.8828125,20797.8828125,1151483904.0
2022-07-15 08:00:00,20810.751953125,20928.2734375,20753.986328125,20891.853515625,20891.853515625,1288257536.0
2022-07-15 09:00:00,20865.900390625,20978.85546875,20850.29296875,20903.15234375,20903.15234375,2301931520.0
2022-07-15 10:00:00,20902.037109375,20902.037109375,20812.603515625,20858.431640625,20858.431640625,6022127616.0
2022-07-15 11:00:00,20864.7578125,20901.830078125,20773.830078125,20773.830078125,20773.830078125,1189093376.0
2022-07-15 12:00:00,20764.337890625,20980.3828125,20764.337890625,20932.517578125,20932.517578125,0.0
2022-07-15 13:00:00,20945.935546875,21020.51171875,20822.734375,20846.80859375,20846.80859375,395460608.0
2022-07-15 14:00:00,20893.55859375,20960.2109375,20882.267578125,20897.138671875,20897.138671875,479096832.0
2022-07-15 15:00:00,20897.701171875,20933.015625,20823.8515625,20823.8515625,20823.8515625,0.0
2022-07-15 16:00:00,20803.1875,20803.1875,20688.40625,20727.931640625,20727.931640625,0.0
2022-07-15 17:00:00,20739.181640625,20867.84375,20739.181640625,20803.18359375,20803.18359375,0.0
2022-07-15 18:00:00,20790.244140625,21006.330078125,20787.591796875,20997.93359375,20997.93359375,0.0
2022-07-15 19:00:00,20996.783203125,21114.349609375,20953.53515625,21114.349609375,21114.349609375,83296256.0
2022-07-15 20:00:00,21123.90234375,21132.49609375,20928.576171875,20928.576171875,20928.576171875,440952832.0
2022-07-15 21:00:00,20938.443359375,20981.90625,20886.013671875,20958.728515625,20958.728515625,122134528.0
2022-07-15 22:00:00,20964.828125,20964.828125,20852.26953125,20892.623046875,20892.623046875,0.0
2022-07-15 23:00:00,20892.76171875,20921.84765625,20790.63671875,20830.70703125,20830.70703125,113729536.0
2022-07-16 00:00:00,20830.37890625,20848.84375,20703.6953125,20715.76171875,20715.76171875,49557504.0
2022-07-16 01:00:00,20707.0,20740.201171875,20678.25390625,20700.83203125,20700.83203125,70133760.0
2022-07-16 02:00:00,20716.287109375,20732.806640625,20647.693359375,20701.25390625,20701.25390625,0.0
2022-07-16 03:00:00,20697.203125,20750.91796875,20697.203125,20746.01953125,20746.01953125,0.0
2022-07-16 04:00:00,20741.1015625,20745.201171875,20693.591796875,20745.201171875,20745.201171875,0.0
2022-07-16 05:00:00,20746.078125,20746.078125,20663.677734375,20666.44140625,20666.44140625,0.0
2022-07-16 06:00:00,20619.421875,20619.421875,20520.796875,20542.029296875,20542.029296875,376453120.0
2022-07-16 07:00:00,20543.2734375,20597.353515625,20526.845703125,20545.552734375,20545.552734375,0.0
2022-07-16 08:00:00,20549.1953125,20639.244140625,20549.1953125,20598.158203125,20598.158203125,0.0
2022-07-16 09:00:00,20599.548828125,20622.80078125,20584.30859375,20617.56640625,20617.56640625,0.0
2022-07-16 10:00:00,20610.880859375,20658.12109375,20606.3125,20622.689453125,20622.689453125,0.0
2022-07-16 11:00:00,20623.36328125,20660.419921875,20620.59375,20636.802734375,20636.802734375,0.0
2022-07-16 12:00:00,20625.046875,20709.345703125,20606.267578125,20709.345703125,20709.345703125,0.0
2022-07-16 13:00:00,20707.26953125,20802.3203125,20695.25390625,20773.3984375,20773.3984375,0.0
2022-07-16 14:00:00,20821.125,20831.603515625,20761.78515625,20812.767578125,20812.767578125,0.0
2022-07-16 15:00:00,20810.255859375,20923.935546875,20810.255859375,20921.962890625,20921.962890625,314791936.0
2022-07-16 16:00:00,20932.748046875,21401.13671875,20931.443359375,21401.13671875,21401.13671875,0.0
2022-07-16 17:00:00,21401.310546875,21514.404296875,21305.50390625,21305.50390625,21305.50390625,1179572224.0
2022-07-16 18:00:00,21264.119140625,21328.630859375,21224.38671875,21256.39453125,21256.39453125,354514944.0
